ID,CorrectIndex,Q_EN,Q_Native,Use Question Image,Use Answer Image,A0_EN,A0_Native,A1_EN,A1_Native,A2_EN,A2_Native,A3_EN,A3_Native,,
26,0,You see a neighbor looking at your new car. What is he thinking?,Sąsiad patrzy na twój nowy samochód. Co myśli?,TRUE,FALSE,Where did he steal the money from?,Skąd on ukradł na to pieniądze?,Good for them!,Dobrze dla nich!,I should buy one too.,Też sobie taki kupię.,Nice color.,Ładny kolor.,,
27,0,What is the primary function of a Polish radiator?,Jaka jest główna funkcja kaloryfera?,FALSE,FALSE,Drying mushrooms and socks,Suszenie grzybów i skarpet,Heating the room,Ogrzewanie pokoju,Decoration,Dekoracja,It makes noise,Robi hałas,,
28,0,Which of these is NOT a real Polish soup?,Która z tych zup NIE jest prawdziwą polską zupą?,TRUE,FALSE,Chocolate Soup (Zupa Czekoladowa),Zupa Czekoladowa,Guts Soup (Flaki ),Flaki,Blood Soup (Czernina ),Czernina, Fruit Soup (Zupa Owocowa),Zupa Owocowa,,
29,0,How do you cure a common cold in Poland?,Jak w Polsce leczy się przeziębienie?,TRUE,FALSE,Tea with raspberry juice and spiritus,Herbata z sokiem malinowym i spirytusem,Go to the doctor,Idziesz do lekarza,Antibiotics immediately,Antybiotyki natychmiast,Sleep it off,Wyśpij to,,
30,0,What is Disco Polo?,Czym jest Disco Polo?,FALSE,FALSE,Music you hate but know every word to,Muzyka której nienawidzisz ale znasz każde słowo,A sport involving horses,Sport z końmi,A type of candy,Rodzaj cukierka,A political party,Partia polityczna,,
31,0,Select the correct reply: Na zdrowie!,Wybierz poprawną odpowiedź: Na zdrowie!,FALSE,FALSE,Cheers!,Dzięki!,Hello!,Cześć!,...Ladies and Gentlemen!,...Panie i Panowie!,Thank you!,Dziękuję!,,
32,0,The name of the shop Żabka literally means:,Nazwa sklepu Żabka dosłownie oznacza:,TRUE,FALSE,Little Frog,Mała Żaba,The Swamp,Bagno,Green Market,Zielony Rynek,Quick Shopping,Szybkie Zakupy,,
33,0,Which one is the Vistula?,Która to Wisła?,FALSE,TRUE,Vistula,Wisła,Tatra Mountains,Tatry,Czernina (Blood Soup),Czernina (Zupa z krwi),Maryla Rodowicz,Maryla Rodowicz,,
34,0,Identify the Polish National Sport (besides football).,Wskaż polski Sport Narodowy (poza piłką nożną).,FALSE,FALSE,Ski Jumping,Skoki Narciarskie,Tennis,Tenis,Cricket,Krykiet,Baseball,Baseball,,
35,0,What is a Paragon?,Co to jest Paragon?,FALSE,FALSE,A receipt you must keep for 5 years,Paragon który musisz trzymać 5 lat,A model citizen,Wzorowy obywatel,A type of dragon,Rodzaj smoka,A shoe brand,Marka butów,,
36,0,Complete the phrase: Kurwa...,Dokończ frazę: Kurwa...,FALSE,FALSE,...mać!,...mać!,...means curve,...oznacza zakręt,...is a bad word,...to złe słowo,...no!,...nie!,,
37,0,What is the scariest letter in the Polish alphabet?,Jaka jest najstraszniejsza litera w polskim alfabecie?,TRUE,FALSE,Sz,Sz,Z,Z,A,A,O,O,,
38,0,Who is Wiedźmin?,Kim jest Wiedźmin?,TRUE,FALSE,Geralt of Rivia,Geralt z Rivii,The Wawel Dragon,Smok Wawelski,Pan Twardowski,Pan Twardowski,Janosik,Janosik,,
39,0,What do you do when the bus driver claps?,Co robisz gdy kierowca autobusu klaszcze?,FALSE,FALSE,Check if your ticket is valid,Sprawdzasz bilet,Clap with him,Klaszczesz z nim,Dance,Tańczysz,Run away,Uciekasz,(Kanar is coming),(Kanar idzie)
40,0,Which city is known for having a mechanical goat clock?,Które miasto słynie z mechanicznych koziołków na zegarze?,TRUE,FALSE,Poznań,Poznań,Kraków,Kraków,Warsaw,Warszawa,Gdańsk,Gdańsk,,
41,0,What is Bigos?,Co to jest Bigos?,FALSE,TRUE,Hunter's Stew with cabbage and meat,Gulasz myśliwski z kapustą i mięsem,A type of dance,Rodzaj tańca,A castle,zamek,Vustula,Vustula,,
42,0,"Translate: Not my circus, not my monkeys.","Przetłumacz: Nie mój cyrk, nie moje małpy.",FALSE,FALSE,Not my problem,To nie mój problem,Stop acting like a clown,Przestań błaznować,This is a huge mess,To wielki bałagan,Leave me alone,Daj mi spokój,,
43,0,What is the most essential furniture in a Polish home?,Jaki jest najważniejszy mebel w polskim domu?,FALSE,FALSE,Trash bin under the sink,Kosz na śmieci pod zlewem,Bed,Łóżko,Table,Stół,Sofa,Sofa,,
44,0,Why do Polish people clap when the plane lands?,Dlaczego Polacy klaszczą po wylądowaniu samolotu?,TRUE,FALSE,To thank the pilot,Żeby podziękować pilotowi,They are happy to be alive,Cieszą się że żyją,It is a rule,Taka jest zasada,They saw a bird,Zobaczyli ptaka,,
45,0,What is Pączek?,Co to jest Pączek?,FALSE,TRUE,A doughnut filled with jam,Pączek z dżemem,A small spider,Mały pająk,Wild mushrooms,Dzikie grzyby,Plastic bag,Plastikowa torba,,
46,0,When is Fat Thursday?,Kiedy jest Tłusty Czwartek?,TRUE,FALSE,Before Lent (Last Thursday of Carnival),Przed Postem (Ostatni czwartek karnawału),Before Easter,Przed Wielkanocą,Every Thursday,W każdy czwartek,When schools are closed on Summer,Kiedy szkoły są zamknięte latem,,
47,0,What is the Hejnał Mariacki?,Co to jest Hejnał Mariacki?,FALSE,FALSE,A trumpet signal played every hour in Kraków,Sygnał z trąbki grany co godzinę w Krakowie,A type of sausage,Rodzaj kiełbasy,A famous painting,Słynny obraz,A football chant,Przyśpiewka piłkarska,,
48,0,Who was Frederic Chopin?,Kim był Fryderyk Chopin?,TRUE,FALSE,Pianist,Pianista,Writer,Pisarz,Philosopher,Filozof,Mathematician,Matematyk,,
49,0,How do you greet someone in Poland?,Jak witasz się w Polsce?,TRUE,FALSE,All of them,Wszystkie,Kiss on the cheek (3 times),Pocałunek w policzek (3 razy),A nod,Skinienie głową,Handshake,Uścisk dłoni,,
